school,age,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,studytime_label
GP,15,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,4,3,2,1,1,5,2,9,10,9,2 - 5 hours
GP,16,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,4,2,3,1,1,5,2,15,16,16,2 - 5 hours
GP,16,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,2,4,4,2,3,4,6,10,11,11,2 - 5 hours
GP,16,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,5,5,5,5,5,5,6,10,8,11,< 2 hours
GP,16,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,3,1,1,1,4,8,10,9,2 - 5 hours
GP,16,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,3,4,4,2,4,4,2,10,9,9,5 - 10 hours
GP,15,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,2 - 5 hours
GP,16,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,5,4,3,1,2,1,2,16,15,15,2 - 5 hours
GP,15,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,1,3,3,5,5,3,4,13,13,12,> 10 hours
GP,16,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,4,3,3,1,2,5,4,7,7,6,> 10 hours
GP,15,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,4,1,3,1,3,4,2,8,9,8,2 - 5 hours
GP,15,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,4,4,2,2,3,3,12,16,16,16,> 10 hours
GP,16,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,4,3,2,1,1,5,0,13,15,15,> 10 hours
GP,15,course,mother,1,4,0,no,no,no,no,yes,yes,yes,3,3,3,1,1,3,0,10,10,10,> 10 hours
GP,15,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,3,3,4,2,4,5,2,8,6,5,2 - 5 hours
GP,16,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,5,3,2,2,2,5,2,12,12,14,< 2 hours
GP,16,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,4,3,3,2,4,5,54,11,12,11,2 - 5 hours
GP,15,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,3,3,2,3,5,6,9,9,10,2 - 5 hours
GP,15,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,3,4,3,1,1,1,8,11,11,10,> 10 hours
GP,16,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,> 10 hours
GP,17,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,4,5,1,1,1,3,2,8,8,10,< 2 hours
GP,16,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,2,4,3,1,2,3,12,5,5,5,2 - 5 hours
GP,15,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,3,2,2,1,3,3,2,10,12,12,< 2 hours
GP,15,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,5,3,2,1,2,5,4,11,10,11,5 - 10 hours
GP,15,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,4,1,1,5,10,7,6,6,2 - 5 hours
GP,15,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,5,3,3,1,3,4,4,15,15,15,2 - 5 hours
GP,15,home,father,1,2,0,no,yes,no,yes,no,yes,yes,4,3,2,2,3,4,2,9,10,10,2 - 5 hours
GP,15,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,2 - 5 hours
GP,16,course,mother,1,2,0,no,yes,no,no,yes,yes,no,4,3,4,1,2,2,4,8,7,6,2 - 5 hours
GP,15,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,5,3,3,1,3,1,4,13,14,14,5 - 10 hours
GP,16,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,4,4,2,1,1,3,12,11,10,10,2 - 5 hours
GP,16,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,4,1,3,3,5,5,18,8,6,7,2 - 5 hours
GP,16,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,5 - 10 hours
GP,15,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,4,5,5,1,3,1,4,16,17,18,< 2 hours
GP,16,home,father,1,2,0,yes,yes,no,no,yes,yes,no,3,3,3,2,3,2,4,7,6,6,2 - 5 hours
GP,16,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,5,3,3,1,1,1,0,11,10,10,2 - 5 hours
GP,15,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,4,3,4,1,1,4,6,11,13,14,> 10 hours
GP,15,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,3,1,2,1,1,1,2,7,10,10,> 10 hours
GP,16,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,3,3,3,1,1,4,2,11,15,15,< 2 hours
GP,16,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,3,5,1,1,5,2,8,9,10,2 - 5 hours
GP,16,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,5,3,4,1,2,1,6,11,14,14,< 2 hours
GP,16,course,mother,1,3,0,yes,yes,yes,no,yes,yes,yes,5,3,5,1,1,3,0,7,9,8,5 - 10 hours
GP,16,other,mother,1,1,0,yes,yes,yes,yes,yes,yes,yes,4,5,5,5,5,4,14,7,7,5,< 2 hours
GP,16,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,5 - 10 hours
GP,15,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,5,3,3,1,1,5,4,10,13,14,< 2 hours
GP,15,home,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,4,3,5,1,1,2,26,7,6,6,2 - 5 hours
GP,15,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,5,4,4,1,1,1,0,16,18,18,2 - 5 hours
GP,15,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,4,3,3,1,1,4,10,10,11,11,> 10 hours
GP,15,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,5,1,2,1,1,3,8,7,8,8,> 10 hours
GP,16,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,5,3,3,1,1,5,2,16,18,18,5 - 10 hours
GP,15,home,father,4,4,0,no,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13,> 10 hours
GP,16,other,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16,5 - 10 hours
GP,15,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,5,5,3,1,1,4,6,18,19,19,< 2 hours
GP,16,reputation,father,1,3,1,yes,yes,no,yes,yes,yes,yes,4,1,2,1,1,2,0,7,10,10,5 - 10 hours
GP,16,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,3,1,2,1,1,5,6,10,13,13,2 - 5 hours
GP,15,course,mother,1,1,0,no,no,no,no,yes,yes,yes,3,5,2,1,1,3,10,18,19,19,< 2 hours
GP,15,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9,2 - 5 hours
GP,16,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,5,4,4,1,2,5,2,15,15,16,2 - 5 hours
GP,15,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,4,4,3,1,1,2,2,11,13,14,2 - 5 hours
GP,16,home,father,2,1,0,no,no,no,yes,yes,yes,yes,5,4,2,1,1,5,0,13,14,13,< 2 hours
GP,17,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,5,2,4,1,4,5,20,9,7,8,2 - 5 hours
GP,15,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,3,4,3,1,2,4,6,14,13,13,< 2 hours
GP,15,course,mother,1,2,0,no,no,no,no,no,yes,yes,3,2,3,1,2,1,2,16,15,15,2 - 5 hours
GP,15,home,father,1,4,0,no,yes,yes,yes,yes,yes,yes,5,5,4,1,2,5,6,16,14,15,> 10 hours
GP,16,course,father,2,2,0,no,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13,2 - 5 hours
GP,16,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,3,4,4,1,4,5,18,14,11,13,< 2 hours
GP,16,home,mother,1,2,0,no,no,yes,no,yes,yes,yes,5,4,4,1,1,5,0,8,7,8,2 - 5 hours
GP,15,home,father,1,1,0,yes,no,no,no,yes,yes,yes,5,5,5,3,2,5,0,13,13,12,< 2 hours
GP,15,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11,2 - 5 hours
GP,19,course,other,1,2,3,no,yes,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9,2 - 5 hours
GP,18,reputation,mother,1,1,2,no,yes,no,yes,yes,yes,yes,3,3,3,1,2,4,0,7,4,0,< 2 hours
GP,16,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,3,5,5,2,5,4,8,18,18,18,< 2 hours
GP,15,course,father,2,3,2,no,yes,no,no,yes,yes,yes,4,2,2,2,2,5,0,12,0,0,5 - 10 hours
GP,15,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,4,3,3,1,2,4,0,8,0,0,< 2 hours
GP,17,course,father,1,1,0,no,yes,no,no,yes,yes,yes,3,4,4,1,3,5,12,10,13,12,< 2 hours
GP,16,course,father,1,1,0,no,no,no,no,yes,yes,yes,3,2,1,1,4,5,16,12,11,11,< 2 hours
GP,15,course,mother,4,2,0,no,yes,no,no,yes,yes,no,5,3,3,1,1,5,0,9,0,0,2 - 5 hours
GP,15,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,4,3,3,1,1,5,0,11,0,0,5 - 10 hours
GP,17,course,mother,3,2,0,no,no,no,no,yes,yes,no,5,4,5,2,4,5,0,10,0,0,2 - 5 hours
GP,16,course,other,2,1,2,no,yes,no,yes,no,yes,yes,4,3,2,1,1,5,0,4,0,0,< 2 hours
GP,16,course,mother,1,2,1,no,no,no,no,yes,yes,no,4,4,4,1,3,5,0,14,12,12,2 - 5 hours
GP,15,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,4,3,2,1,1,5,0,16,16,15,< 2 hours
GP,15,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,2,2,2,1,1,3,0,7,9,0,> 10 hours
GP,16,reputation,father,2,1,2,no,yes,no,yes,yes,yes,yes,2,3,3,2,2,2,8,9,9,9,< 2 hours
GP,15,course,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,4,2,2,1,1,5,2,9,11,11,5 - 10 hours
GP,16,course,mother,1,1,0,no,no,no,no,yes,yes,yes,3,4,4,3,3,1,2,14,14,13,< 2 hours
GP,17,home,mother,1,1,3,no,yes,no,no,yes,yes,yes,5,4,5,1,2,5,0,5,0,0,< 2 hours
GP,15,course,father,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,2,1,2,5,0,8,11,11,2 - 5 hours
GP,15,home,father,1,2,3,no,yes,no,no,yes,yes,yes,3,3,2,1,1,3,0,6,7,0,2 - 5 hours
GP,15,course,mother,1,2,0,no,yes,yes,no,no,yes,yes,4,3,2,1,1,5,2,10,11,11,2 - 5 hours
GP,16,course,mother,1,1,0,no,yes,no,no,yes,no,yes,3,3,2,2,1,5,0,7,6,0,< 2 hours
GP,15,course,mother,4,1,3,no,no,no,no,yes,yes,yes,4,5,5,2,5,5,0,8,9,10,< 2 hours
GP,18,course,mother,1,1,3,no,no,no,no,yes,no,yes,2,3,5,2,5,4,0,6,5,0,< 2 hours
GP,16,course,mother,1,1,1,no,no,no,yes,yes,yes,no,4,4,4,3,5,5,6,12,13,14,< 2 hours
GP,15,reputation,other,2,3,2,no,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10,5 - 10 hours
GP,19,home,mother,1,1,3,no,yes,no,no,yes,no,yes,4,5,4,1,1,4,0,5,0,0,< 2 hours
GP,17,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,4,2,1,1,1,4,0,11,11,12,< 2 hours
GP,15,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,4,4,4,1,1,1,2,11,8,8,2 - 5 hours
GP,17,reputation,mother,1,1,0,no,no,no,no,yes,yes,no,2,2,2,3,3,5,8,16,12,13,< 2 hours
GP,18,course,mother,3,1,3,no,yes,no,yes,no,yes,no,5,2,5,1,5,4,6,9,8,10,< 2 hours
GP,16,course,mother,3,1,0,no,no,no,no,no,yes,no,4,2,2,1,2,3,2,17,15,15,< 2 hours
GP,16,course,father,1,2,1,no,yes,yes,no,yes,yes,yes,4,5,5,4,4,5,4,10,12,12,2 - 5 hours
GP,17,course,mother,2,1,2,no,no,no,yes,yes,no,yes,3,3,2,2,2,5,0,7,6,0,< 2 hours
GP,15,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,4,4,4,1,4,3,6,5,9,7,2 - 5 hours
GP,16,course,mother,2,1,1,no,no,no,yes,yes,yes,no,4,4,4,2,4,5,0,7,0,0,< 2 hours
GP,17,course,father,1,1,0,no,no,no,no,yes,no,yes,5,3,3,1,4,2,2,10,10,10,< 2 hours
GP,17,course,mother,4,2,3,no,no,no,yes,yes,no,no,5,3,5,1,5,5,0,5,8,7,2 - 5 hours
GP,16,course,mother,2,1,1,no,yes,no,yes,no,no,no,4,5,2,1,1,2,16,12,11,12,< 2 hours
GP,16,course,father,1,2,0,no,no,no,no,yes,no,yes,4,3,5,2,4,4,4,10,10,10,2 - 5 hours
GP,16,home,father,1,2,0,no,no,yes,no,yes,yes,yes,4,2,3,1,1,3,0,14,15,16,2 - 5 hours
GP,16,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,5,1,5,1,1,4,0,6,7,0,2 - 5 hours
GP,16,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,2,1,1,3,0,14,14,14,2 - 5 hours
GP,16,course,father,3,1,2,no,yes,no,yes,no,yes,yes,3,4,5,2,4,2,0,6,5,0,< 2 hours
GP,16,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,2,13,15,16,2 - 5 hours
GP,17,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,4,4,4,1,3,5,0,13,11,10,2 - 5 hours
GP,16,home,mother,1,2,3,no,no,no,yes,no,yes,yes,4,3,5,1,1,3,0,8,7,0,2 - 5 hours
GP,16,reputation,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,4,4,5,1,1,4,4,10,11,9,2 - 5 hours
GP,17,course,mother,2,2,0,no,no,yes,yes,yes,yes,yes,4,4,4,4,4,4,4,10,9,9,2 - 5 hours
GP,16,reputation,mother,2,2,0,no,no,yes,yes,no,yes,yes,3,4,4,1,4,5,2,13,13,11,2 - 5 hours
GP,17,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,4,3,4,1,4,4,4,6,5,6,2 - 5 hours
GP,16,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,3,4,3,10,10,8,9,< 2 hours
GP,17,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,5,2,3,1,1,2,4,10,10,11,2 - 5 hours
GP,16,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,3,4,3,2,3,3,10,9,8,8,2 - 5 hours
GP,16,home,mother,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,12,13,12,2 - 5 hours
GP,17,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,5,4,2,2,3,5,0,16,17,17,2 - 5 hours
GP,17,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,3,2,3,1,56,9,9,8,2 - 5 hours
GP,16,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,1,2,2,1,2,1,14,12,13,12,2 - 5 hours
GP,17,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,4,2,3,4,12,12,12,11,2 - 5 hours
GP,16,other,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,3,3,3,1,2,3,2,11,12,11,< 2 hours
GP,16,course,mother,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,5,0,15,15,15,2 - 5 hours
GP,17,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,3,3,3,1,3,3,6,8,7,9,2 - 5 hours
GP,17,home,mother,1,2,0,no,no,no,no,yes,yes,no,3,1,3,1,5,3,4,8,9,10,2 - 5 hours
GP,16,course,mother,1,2,0,no,no,no,no,yes,yes,yes,4,3,3,1,1,2,10,11,12,13,2 - 5 hours
GP,17,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,5,3,3,1,1,3,0,8,8,9,2 - 5 hours
GP,17,other,other,2,2,0,no,no,yes,yes,no,yes,yes,4,4,4,4,5,5,12,7,8,8,2 - 5 hours
GP,16,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,2,3,4,5,8,8,9,10,< 2 hours
GP,16,home,father,2,1,0,no,no,no,no,yes,yes,yes,5,3,3,1,1,3,0,13,14,14,< 2 hours
GP,17,course,father,1,2,0,no,no,no,yes,yes,yes,yes,4,3,2,1,1,5,0,14,15,15,2 - 5 hours
GP,17,home,mother,1,1,0,no,no,no,no,yes,yes,yes,5,2,3,1,2,5,4,17,15,16,< 2 hours
GP,16,home,father,3,1,0,no,yes,yes,yes,yes,yes,yes,3,3,4,3,5,3,8,9,9,10,< 2 hours
GP,17,home,mother,2,1,1,no,yes,no,no,yes,yes,yes,4,2,4,2,3,2,24,18,18,18,< 2 hours
GP,16,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,5,2,1,2,3,0,9,9,10,2 - 5 hours
GP,16,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,4,3,5,1,5,2,2,16,16,16,2 - 5 hours
GP,16,reputation,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,4,4,3,1,3,4,6,8,10,10,2 - 5 hours
GP,17,course,mother,1,2,0,no,yes,yes,no,no,yes,no,4,4,4,1,3,1,4,9,9,10,2 - 5 hours
GP,17,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,5,3,2,1,2,3,18,7,6,6,< 2 hours
GP,16,reputation,mother,2,4,0,no,yes,yes,yes,no,yes,yes,5,3,5,1,1,5,6,10,10,11,> 10 hours
GP,17,home,mother,1,3,1,no,yes,yes,no,yes,yes,yes,4,4,3,3,4,5,28,10,9,9,5 - 10 hours
GP,16,course,mother,1,2,3,no,yes,yes,no,yes,yes,yes,2,3,3,2,2,4,5,7,7,7,2 - 5 hours
GP,16,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,1,3,2,1,1,1,10,11,12,13,2 - 5 hours
GP,16,home,mother,2,1,0,no,yes,yes,no,yes,yes,no,4,3,2,1,4,5,6,9,9,10,< 2 hours
GP,17,reputation,mother,2,3,0,no,yes,yes,yes,yes,yes,yes,4,4,2,1,1,4,6,7,7,7,5 - 10 hours
GP,19,reputation,other,1,4,0,no,yes,yes,yes,yes,yes,yes,4,3,3,1,2,3,10,8,8,8,> 10 hours
GP,17,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,5,3,5,4,5,3,13,12,12,13,2 - 5 hours
GP,16,reputation,mother,1,2,0,yes,yes,yes,no,yes,yes,yes,3,3,4,1,1,4,0,12,13,14,2 - 5 hours
GP,18,home,mother,1,2,1,no,yes,yes,yes,yes,yes,yes,4,4,4,2,4,5,15,6,7,8,2 - 5 hours
GP,17,other,mother,1,1,0,no,yes,yes,no,yes,yes,no,5,2,1,1,2,3,12,8,10,10,< 2 hours
GP,17,reputation,mother,2,2,0,no,no,yes,no,yes,yes,yes,4,4,4,1,3,1,2,14,15,15,2 - 5 hours
GP,17,reputation,mother,1,2,2,no,no,yes,no,yes,yes,yes,3,4,5,2,4,1,22,6,6,4,2 - 5 hours
GP,18,home,father,1,2,1,no,yes,yes,no,yes,yes,yes,3,2,4,2,4,4,13,6,6,8,2 - 5 hours
GP,17,home,father,2,1,0,no,yes,yes,no,yes,yes,no,3,3,3,1,4,3,3,7,7,8,< 2 hours
